
0.31,0.37,0.34,0.39,0.29,0
0.42,0.06,0.63,0.51,0.1,1
0.73,0.11,1.1,1.06,0.97,2
-0.02,-0.08,0.91,0.99,0.8,3
0.75,0.83,0.82,0.69,0.19,4
0.55,0.55,-0.04,0.0,0.02,5
0.17,0.13,0.89,0.84,0.21,6
0.01,-0.08,-0.11,-0.01,0.01,7
0.54,0.0,-0.05,0.08,0.81,8
0.82,1.14,1.09,1.09,0.99,9
0.73,-0.02,-0.07,0.01,0.01,10
0.28,0.64,0.64,0.64,0.3,11
0.66,0.74,0.73,0.12,0.09,12
0.53,0.07,0.08,0.86,0.78,13
0.24,0.09,0.23,0.81,0.9,14
-0.02,0.14,-0.01,0.42,0.66,15
0.12,1.11,1.05,1.04,0.9,16
0.7,0.92,0.08,0.15,0.05,17
-0.03,-0.05,-0.01,0.61,0.59,18
0.31,0.62,0.45,0.44,0.26,0
0.36,0.09,0.56,0.41,0.09,1
0.71,0.13,1.11,0.99,0.91,2
0.03,0.06,1.04,0.96,0.87,3
0.73,0.78,0.74,0.65,0.12,4
0.54,0.58,0.02,0.05,0.04,5
0.15,0.1,0.86,0.82,0.19,6
0.03,-0.02,-0.09,0.0,0.01,7
0.55,0.06,0.01,0.08,0.79,8
0.78,1.13,1.07,1.07,0.99,9
0.74,0.02,-0.04,0.02,0.01,10
0.23,0.4,0.45,0.43,0.15,11
0.76,0.78,0.77,0.13,0.08,12
0.5,0.05,0.05,0.92,0.78,13
0.26,0.09,0.22,0.79,0.85,14
-0.04,0.12,-0.05,0.02,0.54,15
0.13,1.04,0.96,0.97,0.88,16
0.68,0.89,0.04,0.1,0.06,17
-0.03,-0.04,-0.03,0.61,0.66,18
0.24,0.4,0.33,0.34,0.26,0
0.38,0.08,0.66,0.54,0.08,1
0.73,0.1,1.03,0.86,0.88,2
0.0,-0.12,0.85,0.95,0.73,3
0.73,0.75,0.74,0.64,0.11,4
0.53,0.61,-0.01,0.01,0.04,5
0.09,0.09,0.86,0.8,0.17,6
0.07,-0.01,-0.07,0.02,0.02,7
0.55,0.05,0.03,0.08,0.75,8
0.75,1.09,1.11,1.05,0.95,9
0.69,-0.05,-0.06,0.01,0.01,10
0.4,0.5,0.5,0.49,0.26,11
0.73,0.68,0.76,0.19,0.09,12
0.47,0.06,0.04,0.86,0.7,13
0.27,0.08,0.22,0.75,0.76,14
-0.04,0.09,-0.03,0.29,0.61,15
0.09,1.06,1.03,0.99,0.91,16
0.65,0.86,0.03,0.02,0.02,17
-0.03,-0.08,-0.02,0.61,0.57,18
0.4,0.58,0.47,0.44,0.37,0
0.36,0.09,0.52,0.33,0.09,1
0.74,0.13,1.08,0.91,0.93,2
-0.01,-0.03,0.97,0.99,0.8,3
