Frame,Bone Name,Quaternion W,Quaternion X,Quaternion Y,Quaternion Z
0,親指０.L,0.9994818568229675,0.006088424474000931,0.006067464593797922,0.031021058559417725
0,親指１.L,0.9993333220481873,-0.0026840493083000183,0.00014415383338928223,-0.03641290217638016
0,人指１.L,0.9804180264472961,0.19099029898643494,-0.01380904670804739,0.04596647620201111
0,人指１.L,0.9804180264472961,0.19099029898643494,-0.01380904670804739,0.04596647620201111
0,人指１.L,0.9804180264472961,0.19099029898643494,-0.01380904670804739,0.04596647620201111
0,人指１.L,0.9804180264472961,0.19099029898643494,-0.01380904670804739,0.04596647620201111
1,親指０.L,0.7871484160423279,0.3833683729171753,0.453416109085083,-0.16685399413108826
1,親指１.L,0.9918863773345947,0.0788666158914566,0.0995713621377945,-0.005215540062636137
1,人指１.L,0.9667230844497681,-0.12669283151626587,0.18452130258083344,0.12388528883457184
1,人指１.L,0.9667230844497681,-0.12669283151626587,0.18452130258083344,0.12388528883457184
1,人指１.L,0.9667230844497681,-0.12669283151626587,0.18452130258083344,0.12388528883457184
1,人指１.L,0.9667230844497681,-0.12669283151626587,0.18452130258083344,0.12388528883457184
2,親指０.L,0.9909912943840027,0.08601274341344833,-0.019578851759433746,-0.10077156871557236
2,親指１.L,0.8205859065055847,0.16274893283843994,-0.08659697324037552,-0.5409741401672363
2,人指１.L,0.9994609951972961,-0.031289249658584595,0.002280683722347021,0.009672456420958042
2,人指１.L,0.9994609951972961,-0.031289249658584595,0.002280683722347021,0.009672456420958042
2,人指１.L,0.9994609951972961,-0.031289249658584595,0.002280683722347021,0.009672456420958042
2,人指１.L,0.9994609951972961,-0.031289249658584595,0.002280683722347021,0.009672456420958042
3,親指０.L,0.9944908022880554,0.0246009211987257,-0.02453581802546978,0.09889895468950272
3,親指１.L,0.9851429462432861,0.09823281317949295,0.018833549693226814,0.13960295915603638
3,人指１.L,0.9950816035270691,-0.04205374792218208,0.08746681362390518,0.019850455224514008
3,人指１.L,0.9950816035270691,-0.04205374792218208,0.08746681362390518,0.019850455224514008
3,人指１.L,0.9950816035270691,-0.04205374792218208,0.08746681362390518,0.019850455224514008
3,人指１.L,0.9950816035270691,-0.04205374792218208,0.08746681362390518,0.019850455224514008
4,親指０.L,0.9964268803596497,0.0516141839325428,0.0468444786965847,-0.04770398885011673
4,親指１.L,0.8649386763572693,-0.11647416651248932,0.11072923243045807,-0.47545140981674194
4,人指１.L,0.6938316822052002,0.7164526581764221,-0.016454987227916718,-0.07087047398090363
4,人指１.L,0.6938316822052002,0.7164526581764221,-0.016454987227916718,-0.07087047398090363
4,人指１.L,0.6938316822052002,0.7164526581764221,-0.016454987227916718,-0.07087047398090363
4,人指１.L,0.6938316822052002,0.7164526581764221,-0.016454987227916718,-0.07087047398090363
5,親指０.L,0.9344364404678345,0.3029039800167084,0.018551215529441833,-0.18637073040008545
5,親指１.L,0.8698030114173889,-0.19640284776687622,0.4510241448879242,-0.03803142160177231
5,人指１.L,0.912395715713501,0.4016258716583252,-0.06585909426212311,-0.04352033510804176
5,人指１.L,0.912395715713501,0.4016258716583252,-0.06585909426212311,-0.04352033510804176
5,人指１.L,0.912395715713501,0.4016258716583252,-0.06585909426212311,-0.04352033510804176
5,人指１.L,0.912395715713501,0.4016258716583252,-0.06585909426212311,-0.04352033510804176
6,親指０.L,0.9984608292579651,0.015639418736100197,0.022805677726864815,0.04807616025209427
6,親指１.L,0.9835777878761292,0.01752503588795662,0.0715368464589119,0.16477327048778534
6,人指１.L,0.9980924129486084,-0.0028918092139065266,-0.007580163888633251,0.061205532401800156
6,人指１.L,0.9980924129486084,-0.0028918092139065266,-0.007580163888633251,0.061205532401800156
6,人指１.L,0.9980924129486084,-0.0028918092139065266,-0.007580163888633251,0.061205532401800156
6,人指１.L,0.9980924129486084,-0.0028918092139065266,-0.007580163888633251,0.061205532401800156
7,親指０.L,0.9965370297431946,0.00944599974900484,0.0010000000474974513,0.08260700106620789
7,親指１.L,0.9872287511825562,-0.061441682279109955,-0.09724371880292892,0.11021707206964493
7,人指１.L,0.9813681840896606,0.005294528789818287,0.060664594173431396,0.1822318583726883
7,人指１.L,0.9813681840896606,0.005294528789818287,0.060664594173431396,0.1822318583726883
7,人指１.L,0.9813681840896606,0.005294528789818287,0.060664594173431396,0.1822318583726883
7,人指１.L,0.9813681840896606,0.005294528789818287,0.060664594173431396,0.1822318583726883
8,親指０.L,0.9686211943626404,0.09786719083786011,0.0975707620382309,-0.20658081769943237
8,親指１.L,0.8153466582298279,0.0033400566317141056,-0.2898027300834656,-0.5012118816375732
8,人指１.L,0.980987548828125,-0.024880127981305122,-0.017224811017513275,0.1916969269514084
8,人指１.L,0.980987548828125,-0.024880127981305122,-0.017224811017513275,0.1916969269514084
8,人指１.L,0.980987548828125,-0.024880127981305122,-0.017224811017513275,0.1916969269514084
8,人指１.L,0.980987548828125,-0.024880127981305122,-0.017224811017513275,0.1916969269514084
9,親指０.L,0.9963667988777161,0.0728960707783699,-0.034804053604602814,-0.026989933103322983
9,親指１.L,0.8151323795318604,0.15069667994976044,-0.08624085038900375,-0.5526419281959534
9,人指１.L,0.6331948041915894,0.770253598690033,0.07258203625679016,0.022492239251732826
9,人指１.L,0.6331948041915894,0.770253598690033,0.07258203625679016,0.022492239251732826
9,人指１.L,0.6331948041915894,0.770253598690033,0.07258203625679016,0.022492239251732826
9,人指１.L,0.6331948041915894,0.770253598690033,0.07258203625679016,0.022492239251732826
10,親指０.L,0.9917094111442566,0.07696694135665894,-0.10236438363790512,-0.06971561908721924
